Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
Male,No,3+,Graduate,No,2955,2577,75.7,480.0,1.0,Semiurban,1
Female,No,0,Graduate,No,4549,593,115.0,360.0,1.0,Urban,1
Male,Yes,2,Not Graduate,No,1500,0,126.9,360.0,1.0,Semiurban,1
Male,Yes,0,Graduate,No,1500,322,59.2,60.0,1.0,Urban,1
Male,No,0,Graduate,No,3329,0,93.1,180.0,1.0,Rural,0
Male,No,0,Graduate,No,2127,0,32.8,240.0,1.0,Rural,1
Male,Yes,1,Not Graduate,No,2517,628,185.1,480.0,1.0,Rural,1
Female,Yes,0,Graduate,No,2217,1475,69.7,360.0,0.0,Urban,0
Male,Yes,2,Graduate,No,2285,2685,92.6,36.0,0.0,Semiurban,1
Male,Yes,0,Not Graduate,No,1500,232,77.1,300.0,0.0,Urban,0
Male,Yes,3+,Not Graduate,No,3389,1559,159.7,240.0,1.0,Urban,0
Female,Yes,0,Not Graduate,Yes,3647,0,21.8,84.0,0.0,Rural,0
Female,Yes,2,Not Graduate,No,1575,0,,36.0,1.0,Urban,0
Male,No,2,Graduate,No,1761,3430,85.4,300.0,1.0,Semiurban,1
Male,Yes,2,Not Graduate,No,1500,0,71.7,120.0,0.0,Semiurban,0
Male,Yes,2,Graduate,No,2461,482,,180.0,1.0,Rural,1
Male,No,2,Not Graduate,No,2548,954,57.8,240.0,1.0,Rural,0
Male,No,1,Graduate,No,1741,4663,132.4,480.0,1.0,Rural,1
Male,Yes,0,Not Graduate,No,3549,0,107.6,12.0,1.0,Semiurban,1
Male,Yes,0,Graduate,No,1500,0,169.1,300.0,1.0,Urban,1
Male,Yes,3+,Graduate,Yes,2537,0,64.5,84.0,1.0,Semiurban,1
Male,Yes,1,Graduate,No,1500,4025,62.4,360.0,1.0,Semiurban,1
